Spessore;H;W;alpha;beta;;;
1.14;127;203;451.6;82.5;;;
2.84;127;203;464.5;85;;;
1.7;127;203;451.6;82.5;;;
2.54;127;203;464.5;85;;;
1.13;106;152;319.3;90;;;
N.ordine;Larghezza (w);Altezza (h);PESO (p);due date;retinatura r;Spessore;Nome ordine
143;50;99;1;4;6.94E+00;1.13;it1200lomi
144;50;99;1;4;6.94E+00;1.13;it1200lomi
145;50;99;1;4;6.94E+00;1.13;it1200lomi
146;50;99;1;4;3.89E+00;1.13;it1200lomi
147;50;99;1;4;3.89E+00;1.13;it1200lomi
148;50;99;1;4;8.33E+00;1.13;it1200lomi
149;49;109;1;7;8.33E+00;1.14;delonghi
150;49;109;1;7;6.94E+00;1.14;delonghi
151;50;110;1;7;6.94E+00;1.14;it1200generic
152;50;110;1;7;5.56E+00;1.14;it1200generic
153;68;34;0.5;20;3.89E+00;2.84;pesciolinibli
154;68;34;0.5;20;6.94E+00;2.84;fiorescozzese
155;68;34;0.5;20;8.33E+00;2.84;fiorescozzese
156;68;34;0.5;20;6.94E+00;2.84;fiorescozzese
157;13;56;0.75;20;8.33E+00;2.84;codici
158;17;42;0.75;20;6.94E+00;2.84;ittica
159;17;42;0.75;20;5.56E+00;2.84;ittica
160;23;43;0.75;20;5.56E+00;2.84;ittica
161;19;56;0.75;20;4.44E+00;2.84;alpesciolino
162;44;29;0.75;20;5.56E+00;2.84;barbato
163;30;52;0.75;20;5.56E+00;2.84;ciacco
164;29;52;0.75;20;6.94E+00;2.84;ciacco
165;38;83;0.75;20;6.94E+00;2.84;deluca
166;13;36;0.75;20;5.56E+00;2.84;enzogelateria
167;26;43;0.75;22;4.44E+00;2.84;enzogelateria
168;15;43;0.75;22;4.44E+00;2.84;enzogelateria
169;32;50;0.75;22;6.94E+00;2.84;enzogelateria
170;31;26;0.75;22;6.94E+00;2.84;leder
171;38;26;0.75;22;6.94E+00;2.84;leder
172;34;29;0.75;22;5.56E+00;2.84;leder
173;42;29;0.75;22;5.56E+00;2.84;leder
174;25;47;0.75;22;5.56E+00;2.84;lokalshopp
175;12;79;0.75;22;5.56E+00;2.84;mythos
176;37;110;0.75;22;5.56E+00;2.84;mythos
177;18;79;0.75;22;5.56E+00;2.84;mythos
178;26;63;0.5;22;5.56E+00;2.84;savinocoffee
179;10;26;0.5;22;5.56E+00;2.84;chezsamisacch
180;30;99;1;22;5.56E+00;2.84;lufra
181;30;99;1;22;3.89E+00;2.84;lufra
